0001; SYSTEM_LEVEL_SYSTEM; SW EMCY list outdated;
1000; SYSTEM_LEVEL_NONE; Driver: Up Command;
1001; SYSTEM_LEVEL_NONE; Driver: Down Command;
1002; SYSTEM_LEVEL_NONE; Logging Stopped;
1003; SYSTEM_LEVEL_NONE; Logging Restarted;
1004; SYSTEM_LEVEL_SYSTEM; Somewhat Generic EMCY;
1005; SYSTEM_LEVEL_SYSTEM; Sensor phys lim low;
1006; SYSTEM_LEVEL_SYSTEM; Sensor phys lim high;
1007; SYSTEM_LEVEL_SYSTEM; Sensor sys lim low;
1008; SYSTEM_LEVEL_SYSTEM; Sensor sys lim high;
1009; SYSTEM_LEVEL_SYSTEM; Sensor lost;
100A; SYSTEM_LEVEL_SYSTEM; Actuator lost;
100B; SYSTEM_LEVEL_SYSTEM; Node heartbeat lost;
1010; SYSTEM_LEVEL_SYSTEM; Gen Device EMCY Sys;
1011; SYSTEM_LEVEL_LV; Gen Device EMCY LVS;
1012; SYSTEM_LEVEL_HV; Gen Device EMCY RESS;
1013; SYSTEM_LEVEL_TR_GENERAL; Gen Device EMCY TRGen;
1014; SYSTEM_LEVEL_TR_FRONT; Gen Device EMCY TRFro;
1015; SYSTEM_LEVEL_TR_REAR; Gen Device EMCY TRRea;
1016; SYSTEM_LEVEL_FC_GENERAL; Gen Device EMCY FCGen;
1017; SYSTEM_LEVEL_FC_LEFT; Gen Device EMCY FC L;
1018; SYSTEM_LEVEL_FC_RIGHT; Gen Device EMCY FC R;
1100; SYSTEM_LEVEL_SYSTEM; MFSM invalid command;
1101; SYSTEM_LEVEL_SYSTEM; MFSM cmd no effect;
1102; SYSTEM_LEVEL_SYSTEM; MFSM state timeout;
1103; SYSTEM_LEVEL_SYSTEM; MFSM inv. state entry;
1200; SYSTEM_LEVEL_LV; LVS FSM INV. CMD;
1201; SYSTEM_LEVEL_LV; LVS FSM CMD NO EFT.;
1202; SYSTEM_LEVEL_LV; LVS FSM crit. state;
1203; SYSTEM_LEVEL_LV; LVS FSM inv. state;
1300; SYSTEM_LEVEL_HV; RESS FSM INV. CMD;
1301; SYSTEM_LEVEL_HV; RESS FSM CMD NO EFT.;
1302; SYSTEM_LEVEL_HV; RESS FSM crit. state;
1303; SYSTEM_LEVEL_HV; RESS FSM inv. state;
1400; SYSTEM_LEVEL_TR_GENERAL; TRAC. FSM INV. CMD;
1401; SYSTEM_LEVEL_TR_GENERAL; TRAC. FSM CMD NO EFT.;
1402; SYSTEM_LEVEL_TR_GENERAL; TRAC. FSM crit. state;
1403; SYSTEM_LEVEL_TR_GENERAL; TRAC. FSM inv. state ;
1500; SYSTEM_LEVEL_FC_GENERAL; FC FSM INV. CMD;
1501; SYSTEM_LEVEL_FC_GENERAL; FC FSM CMD NO EFT.;
1502; SYSTEM_LEVEL_FC_GENERAL; FC FSM crit. state;
1503; SYSTEM_LEVEL_FC_GENERAL; FC FSM inv. state;
2000; SYSTEM_LEVEL_SYSTEM; Node LS sw overcur;
2001; SYSTEM_LEVEL_SYSTEM; Node LS hw overcur;
2002; SYSTEM_LEVEL_SYSTEM; Node PWM overcurrent;
2003; SYSTEM_LEVEL_SYSTEM; Node PWM i2t overcur;
2004; SYSTEM_LEVEL_SYSTEM; Node Actuator undercu;
3000; SYSTEM_LEVEL_SYSTEM; Node LS overvoltage;
3001; SYSTEM_LEVEL_SYSTEM; Node LS undervoltage;
3002; SYSTEM_LEVEL_SYSTEM; Node PWM overvoltage;
3003; SYSTEM_LEVEL_SYSTEM; Node PWM undervoltage;
3004; SYSTEM_LEVEL_SYSTEM; Node wrong rail volt.;
4000; SYSTEM_LEVEL_SYSTEM; Node overtemperature;
4001; SYSTEM_LEVEL_SYSTEM; Node temp warning;
4002; SYSTEM_LEVEL_SYSTEM; Node LS overtemp;
4003; SYSTEM_LEVEL_SYSTEM; Node PWM overtemp;
4004; SYSTEM_LEVEL_SYSTEM; Tank temp too high;
4900; SYSTEM_LEVEL_SYSTEM; Rotary ADC Read Fail;
6000; SYSTEM_LEVEL_SYSTEM; EmbOS RTOS;
6001; SYSTEM_LEVEL_SYSTEM; EmbOS application;
6002; SYSTEM_LEVEL_SYSTEM; Stack almost full;
6003; SYSTEM_LEVEL_SYSTEM; Background starved;
6004; SYSTEM_LEVEL_SYSTEM; EEPROM timeout;
6005; SYSTEM_LEVEL_SYSTEM; Backgrnd starved DAQ;
6006; SYSTEM_LEVEL_SYSTEM; ADC calibration fail;
6007; SYSTEM_LEVEL_SYSTEM; USB init failed;
6008; SYSTEM_LEVEL_SYSTEM; Node LS init lockout;
6009; SYSTEM_LEVEL_SYSTEM; Analog overflow;
600A; SYSTEM_LEVEL_SYSTEM; Analog underlow;
600B; SYSTEM_LEVEL_SYSTEM; Analog ADC error;
600C; SYSTEM_LEVEL_SYSTEM; Analog HW error;
600D; SYSTEM_LEVEL_SYSTEM; Analog self protect;
600E; SYSTEM_LEVEL_SYSTEM; DIN startup error;
600F; SYSTEM_LEVEL_SYSTEM; Configuration error;
8120; SYSTEM_LEVEL_SYSTEM; CAN error passive;
8140; SYSTEM_LEVEL_SYSTEM; CAN busoff;
8141; SYSTEM_LEVEL_SYSTEM; CAN No Message Buffer;
8142; SYSTEM_LEVEL_SYSTEM; CAN RX Warning;
8143; SYSTEM_LEVEL_SYSTEM; CAN TX Warning;
8250; SYSTEM_LEVEL_SYSTEM; CAN rpdo timeout;
8260; SYSTEM_LEVEL_SYSTEM; CAN warning;
8280; SYSTEM_LEVEL_SYSTEM; CAN overrun;
82A0; SYSTEM_LEVEL_SYSTEM; DIN Dynamic PDO error;
F001; SYSTEM_LEVEL_LV; BL status error;
F002; SYSTEM_LEVEL_HV; BL Interlock error;
F003; SYSTEM_LEVEL_LV; BL overcurrent error;
F010; SYSTEM_LEVEL_HV; Vicor PreChar UnderV;
F011; SYSTEM_LEVEL_HV; BL PreCharge UnderV;
F020; SYSTEM_LEVEL_LV; BL LPO Wrong State;
F021; SYSTEM_LEVEL_LV; BL LPO LV UnderVolt;
F022; SYSTEM_LEVEL_LV; BL LPO HV UnderVolt;
F023; SYSTEM_LEVEL_LV; BL MPQ Wrong State;
F024; SYSTEM_LEVEL_LV; BL MPQ LV UnderVolt;
F025; SYSTEM_LEVEL_LV; BL MPQ HV UnderVolt;
F100; SYSTEM_LEVEL_FC_GENERAL; DCDC error;
F101; SYSTEM_LEVEL_FC_GENERAL; DCDC warning;
F102; SYSTEM_LEVEL_FC_GENERAL; DCDC derating;
F103; SYSTEM_LEVEL_FC_GENERAL; DCDC soft-lock;
F104; SYSTEM_LEVEL_FC_GENERAL; DCDC LV undercurrent;
F105; SYSTEM_LEVEL_FC_GENERAL; DCDC overtemperature;
F106; SYSTEM_LEVEL_FC_GENERAL; DCDC voltage level;
F107; SYSTEM_LEVEL_FC_GENERAL; DCDC soft disabled;
F108; SYSTEM_LEVEL_FC_GENERAL; DCDC too many resets;
F109; SYSTEM_LEVEL_FC_GENERAL; DCDC rate limiting;
F170; SYSTEM_LEVEL_HV; RESS EXT PrepPre tout;
F171; SYSTEM_LEVEL_HV; RESS EXT PrepChg tout;
F172; SYSTEM_LEVEL_HV; RESS Ext ChgCond fail;
F173; SYSTEM_LEVEL_HV; RESS Ext ShtdwnAccDis;
F174; SYSTEM_LEVEL_LV; RESS Ext Trip Trigger;
F180; SYSTEM_LEVEL_HV; RESS EXT Prechrg tout;
F181; SYSTEM_LEVEL_HV; RESS EXT Prechrg fail;
F182; SYSTEM_LEVEL_LV; RESS EXT AccV RngeExc;
F183; SYSTEM_LEVEL_LV; RESS Ext Short NegPol;
F184; SYSTEM_LEVEL_LV; RESS Ext Short PosPol;
F185; SYSTEM_LEVEL_LV; RESS Ext HV Interlock;
F186; SYSTEM_LEVEL_LV; RESS Ext Relay Fail;
F195; SYSTEM_LEVEL_LV; Acc. undervoltage crt;
F196; SYSTEM_LEVEL_HV; Acc. overvoltage crt;
F197; SYSTEM_LEVEL_HV; Acc. undervoltage wrn;
F198; SYSTEM_LEVEL_HV; Acc. overvoltage wrn;
F199; SYSTEM_LEVEL_HV; Acc. overtemperature;
F19A; SYSTEM_LEVEL_LV; Acc. PEC error;
F19B; SYSTEM_LEVEL_LV; Acc. SPI error;
F19C; SYSTEM_LEVEL_LV; Acc. mux error;
F19D; SYSTEM_LEVEL_LV; Acc. unresponsive;
F19E; SYSTEM_LEVEL_HV; Acc. Balance Stopped;
F1A0; SYSTEM_LEVEL_LV; IMD impedance too low;
F1A1; SYSTEM_LEVEL_SYSTEM; IMD undervoltage;
F1A2; SYSTEM_LEVEL_LV; IMD bad measurement;
F1A3; SYSTEM_LEVEL_SYSTEM; IMD device error;
F1A4; SYSTEM_LEVEL_LV; IMD connection fault;
F1A5; SYSTEM_LEVEL_SYSTEM; IMD PWM timeout;
F1A6; SYSTEM_LEVEL_LV; IMD status low;
F1A7; SYSTEM_LEVEL_SYSTEM; IMD required but off;
F200; SYSTEM_LEVEL_HV; EMS protection limits;
F201; SYSTEM_LEVEL_TR_GENERAL; TP protection limits;
F202; SYSTEM_LEVEL_TR_GENERAL; SH protection limits;
F205; SYSTEM_LEVEL_TR_GENERAL; Motor Mode set retry;
F206; SYSTEM_LEVEL_TR_GENERAL; MotorEnable set retry;
F20F; SYSTEM_LEVEL_TR_GENERAL; Failed Full Startup;
F210; SYSTEM_LEVEL_TR_GENERAL; Failed to Recover;
F211; SYSTEM_LEVEL_TR_GENERAL; Failed full shutdown;
F212; SYSTEM_LEVEL_TR_GENERAL; Failed norm. shutdown;
F250; SYSTEM_LEVEL_TR_GENERAL; Motor error;
F251; SYSTEM_LEVEL_TR_GENERAL; Motor warning;
F252; SYSTEM_LEVEL_TR_GENERAL; Motor ctrlmode change;
F253; SYSTEM_LEVEL_TR_GENERAL; Motor ctrlmode set;
F254; SYSTEM_LEVEL_TR_GENERAL; Motor invalid regen;
F256; SYSTEM_LEVEL_TR_GENERAL; Motor overtemperature;
F257; SYSTEM_LEVEL_TR_GENERAL; Motor dclink overvolt;
F258; SYSTEM_LEVEL_TR_GENERAL; Motor invalid state;
F259; SYSTEM_LEVEL_TR_GENERAL; Motor sw enable error;
F25A; SYSTEM_LEVEL_TR_GENERAL; Motor enable set err;
F260; SYSTEM_LEVEL_TR_GENERAL; Motorctrl startup err;
F261; SYSTEM_LEVEL_TR_GENERAL; Motorctrl hw enbl err;
F262; SYSTEM_LEVEL_TR_GENERAL; Motorctrl aux pwr err;
F263; SYSTEM_LEVEL_TR_GENERAL; Motorctrl CAN timeout;
F270; SYSTEM_LEVEL_TR_GENERAL; Thrttl not calibrated;
F271; SYSTEM_LEVEL_TR_GENERAL; Thrttl not responsive;
F300; SYSTEM_LEVEL_FC_GENERAL; Interlock signal high;
F301; SYSTEM_LEVEL_FC_GENERAL; Current sensor error;
F302; SYSTEM_LEVEL_FC_GENERAL; RJBL overtemperature;
F400; SYSTEM_LEVEL_FC_GENERAL; Left Comp Pump Error;
F401; SYSTEM_LEVEL_FC_GENERAL; H2 conc sensor error;
F402; SYSTEM_LEVEL_FC_GENERAL; H2 conc overtemp;
F511; SYSTEM_LEVEL_SYSTEM; RTC time was reset;
F512; SYSTEM_LEVEL_SYSTEM; RTC battery empty;
F513; SYSTEM_LEVEL_SYSTEM; No SD card;
F514; SYSTEM_LEVEL_SYSTEM; FAT FS error;
F515; SYSTEM_LEVEL_SYSTEM; Logging overrun;
F516; SYSTEM_LEVEL_SYSTEM; Unknown EMCY;
F517; SYSTEM_LEVEL_SYSTEM; Watchdog boot timeout;
F518; SYSTEM_LEVEL_SYSTEM; Watchdog OS timeout;
F51A; SYSTEM_LEVEL_SYSTEM; DIN Connector changed;
F520; SYSTEM_LEVEL_SYSTEM; Lifeline fail;
F580; SYSTEM_LEVEL_FC_GENERAL; Control FC HB missed ;
F581; SYSTEM_LEVEL_TR_GENERAL; Control Trc HB missed;
F582; SYSTEM_LEVEL_SYSTEM; Data Acq HB missed;
F583; SYSTEM_LEVEL_SYSTEM; Data Telem HB missed;
F584; SYSTEM_LEVEL_SYSTEM; Init AB HB missed;
F585; SYSTEM_LEVEL_SYSTEM; Init CD HB missed;
F586; SYSTEM_LEVEL_SYSTEM; State Mchns HB missed;
F590; SYSTEM_LEVEL_SYSTEM; CPS HB missed;
F600; SYSTEM_LEVEL_HV; comp.inv sys error 1;
F601; SYSTEM_LEVEL_FC_GENERAL; comp.inv sys error 2;
F602; SYSTEM_LEVEL_FC_GENERAL; comp.inv tpdo1 err id;
F603; SYSTEM_LEVEL_HV; comp.inv powermod err;
F604; SYSTEM_LEVEL_FC_GENERAL; comp.inv system error;
F605; SYSTEM_LEVEL_FC_GENERAL; comp speed setpnt err;
